id,name,department,current_shift
844,Jason Grant,IT,evening
845,Jessica Cox,IT,night
846,Frank Robinson,Support,night
847,Sarah Sutton,IT,evening
848,Adrian Parker,HR,evening
849,John Reyes,Finance,morning
850,Sean Lowe,Support,morning
851,Crystal Allen,Sales,morning
852,Kevin Herrera,Support,evening
853,Michael Lopez,HR,evening
854,Colleen Cooper,HR,morning
855,Carla Cantu,Sales,night
856,Christopher Dixon,Finance,night
857,Michael Small,IT,evening
858,Richard Stewart,HR,evening
859,Austin Lawson,Support,evening
860,Jacqueline Barnett,Sales,night
861,Benjamin Hamilton,Sales,evening
862,Kelly Fitzgerald,IT,evening
863,Bradley Mitchell,Support,night
864,Doris Nguyen,Support,evening
865,Richard Morales,HR,morning
866,Henry Faulkner,Finance,evening
867,Timothy Jones,Finance,night
868,Sara Sanchez,Finance,evening
869,Rebecca Miller,Finance,night
870,James Wheeler,HR,evening
871,Jasmine Guzman,HR,evening
872,Stephanie Zimmerman,Finance,morning
873,Ethan Wagner,Sales,morning
874,Stephen Rose,HR,evening
875,Dana Robinson,Finance,evening
876,Julie Stokes,Sales,morning
877,Christopher Herrera,HR,morning
878,Shane King,Support,evening
879,Kenneth Fletcher DDS,IT,night
880,Ashley Thompson,HR,morning
881,Ellen Jackson,IT,night
882,Jordan Horn,Support,evening
883,David Strong,Finance,morning
884,Michael Washington,Sales,night
885,George White,IT,night
886,Michelle Hill,IT,night
887,Samantha Anderson,HR,evening
888,Stephanie Bush,Finance,evening
889,Shawn Wilson,Finance,morning
890,Taylor Cox,Sales,night
891,Richard James,Sales,night
892,Jonathan Franklin,HR,evening
893,Dean Mendoza,Support,evening
894,Brian Lowery,HR,morning
895,Sharon Reyes,Support,evening
896,Cassandra Mccoy,HR,evening
897,Emily Smith,HR,evening
898,Paula Campbell,Finance,morning
899,Sharon Kane,HR,morning
900,Jacqueline Fleming,Sales,evening
901,Colin Mccarthy,Sales,night
902,Arthur Stephenson,Sales,morning
903,Jerry Mccormick,IT,morning
904,Sarah Young,Support,evening
905,Daniel Palmer,Finance,night
906,Jason Johnston,Finance,night
907,Christina Ellis,Sales,night
908,Robert Chang,Sales,night
909,Monica Mitchell,IT,evening
910,David Ross,Sales,night
911,Matthew Peck,Support,night
912,Kelly Hernandez,HR,evening
913,Brian Shepard,Support,evening
914,Natalie Hahn,Finance,night
915,Marcus Wells,Support,morning
916,Michelle Hayes,Sales,morning
917,Norman Sharp,Finance,evening
918,Susan Meadows,Sales,morning
919,Deanna May,HR,night
920,Nicole Hanson,IT,morning
921,David Morse,IT,morning
922,Leah Guerrero,HR,evening
923,Vanessa Nicholson,Sales,morning
924,Mr. Danny Gibson,Sales,night
925,Kelly Williamson,Finance,evening
926,Justin Richardson,IT,evening
927,Ernest Evans,Support,morning
928,Javier Olson,Sales,night
929,Edgar Contreras,Sales,morning
930,Bryan Kline,Sales,night
931,Donald White,HR,evening
932,Jennifer Mclaughlin,Sales,evening
933,Jesse Robles,Support,morning
934,Brooke Becker,IT,night
935,Douglas Roberts,Finance,night
936,Jeffrey Moran,Finance,morning
937,Willie Alexander,Support,evening
938,Brian Clark,Finance,evening
939,Christina Perry,Finance,morning
940,Joy Gonzales,IT,evening
941,Samantha Ray,HR,evening
942,Christopher Conley,HR,night
943,Thomas Johnson,IT,morning
944,James Kent,HR,night
945,Christopher Davidson,Support,night
946,John Banks,Support,morning
947,Justin Kramer,HR,evening
948,Christopher Bernard,HR,evening
949,Mrs. Donna Myers,IT,evening
950,Mark Arellano,HR,evening
951,Jonathan Garcia,HR,night
952,Rose Greer,IT,morning
953,Laura Graves,HR,night
954,Megan Barker,IT,night
955,David Romero,HR,evening
956,Gregory Garcia,Support,evening
957,Sherry Rodriguez,Finance,morning
958,Becky Smith,Sales,evening
959,Jason Ford,IT,evening
960,Robin Zimmerman MD,Finance,night
961,Tammy Thomas,IT,morning
962,Anthony Neal,Sales,night
963,Andrew Wheeler,HR,morning
964,Michael Cochran,Support,night
965,Jennifer Mcdaniel,HR,morning
966,Lee Mendoza,IT,night
967,Virginia Phillips,Sales,morning
968,Aaron Acosta,IT,evening
969,Amy Pineda,Support,morning
970,Kristen Stone,HR,morning
971,Shelby Hammond,Support,evening
972,Danielle Mitchell,Finance,morning
973,Carolyn Ramirez,Support,morning
974,Ashley Maynard,Finance,night
975,Andrew Sanders,Finance,evening
976,Antonio Cameron,Sales,morning
977,William Armstrong MD,HR,evening
978,Nicole Morales DDS,IT,night
979,Christopher Sanders,Finance,evening
980,Robert Gray,Sales,morning
981,Emily Avila,HR,morning
982,Gary Jensen,HR,morning
983,Kevin Lopez,Finance,night
984,Susan Diaz,Finance,morning
985,Donald Holmes,Support,evening
986,Teresa Bailey DVM,Support,night
987,Dr. Amanda Todd,Support,evening
988,Amanda Bell,HR,morning
989,Mark Bowen,HR,morning
990,Kim Bryant,Sales,morning
991,Ronald Parker,IT,morning
992,James Wilcox,Finance,night
993,Jennifer Sanchez,HR,evening
994,Heather Smith,Support,evening
995,Paul Webb,Sales,morning
996,Justin Simmons,Finance,evening
997,Louis Patterson,Sales,night
998,Mary Mcdonald,Finance,evening
999,Michael Kim,HR,evening
1000,John May,IT,evening
1001,Breanna Huerta,Sales,evening
1002,John Li,Finance,morning
1003,Kevin Castillo,IT,night
1004,Richard Stevenson,Finance,morning
1005,Robert Greene,Support,morning
1006,Zachary Alexander,HR,night
1007,Sarah Quinn,HR,night
1008,David Thomas,IT,evening
1009,Evan Wilson,Sales,night
1010,Jason Fuller,Finance,morning
1011,Melinda Miller,Finance,evening
1012,Russell Harrison,Support,evening
1013,Jonathan Johnson,HR,morning
1014,Amy Fernandez,HR,evening
1015,Sarah Haynes,Sales,evening
1016,Jane Anderson,Sales,morning
1017,Alicia Murphy,HR,night
1018,Carrie West,Finance,morning
1019,Daniel Cox,IT,morning
1020,Tina Graham,HR,evening
1021,Sarah Good,Support,morning
1022,Matthew Cook,HR,night
1023,Dr. Kimberly Harvey DDS,HR,evening
1024,Stephanie Lynch,Sales,morning
1025,Loretta Torres,IT,evening
1026,Diana Hill,Sales,night
1027,Sarah Walters,HR,night
1028,Amy Henry,Sales,morning
1029,Barry Stewart,IT,evening
1030,Amanda Martinez MD,IT,evening
1031,Raymond Lambert,Sales,evening
1032,Jacqueline Lopez,Finance,morning
1033,Joseph Owens,HR,night
1034,Daniel Fischer,Sales,evening
1035,Johnathan Anderson,HR,morning
1036,Nancy Potter,Sales,night
1037,Susan Hansen,IT,evening
1038,Don Hooper,HR,evening
1039,Stephen Chase,Sales,night
1040,Eric Todd,HR,night
1041,Jennifer Murphy,Sales,night
1042,Brittany Taylor,IT,morning
1043,Samantha Lyons,HR,morning
1044,Sarah Hill,IT,evening
1045,Emily Elliott,HR,night
1046,Christian Patterson,Finance,evening
1047,Tony Walsh,Sales,morning
1048,Peter Wilson,HR,evening
1049,Michael Allen,IT,night
1050,Gabriel Owens,HR,evening
1051,Kayla Kelly,HR,morning
1052,Charles Shannon,IT,night
1053,Amanda Clark,Sales,evening
1054,Kathleen Thompson,HR,night
1055,Jessica Flores,Finance,evening
1056,Susan Lamb,Sales,night
1057,Andrea Erickson,Sales,evening
1058,Jesse Williams,Sales,evening
1059,Brandy Clark,HR,morning
1060,Laurie Andrade,Finance,evening
1061,Teresa Carrillo,Finance,night
1062,Brenda Norman,IT,morning
1063,Sharon Stewart,HR,night
1064,Nicole Howe,Sales,evening
1065,Christopher Chung,Support,morning
1066,David Schroeder PhD,Support,morning
1067,Barbara Jackson,IT,evening
1068,Jessica Davis,Finance,evening
1069,Richard Ramirez,Finance,evening
1070,Miranda Smith,Sales,morning
1071,Robert Owens,Sales,evening
1072,Lisa Gill,Support,morning
1073,Evan Gonzalez,Support,evening
1074,Mr. Richard Berry,IT,night
1075,Rachael Jenkins,HR,night
1076,Tabitha Becker,Support,evening
1077,Jesse Brown,Sales,evening
1078,Shane Aguilar,IT,morning
1079,Mr. Steven Wagner Jr.,HR,evening
1080,Dana Morgan,Finance,morning
1081,Kevin Duncan,Sales,morning
1082,Travis Bolton,Sales,night
1083,Michael Bell,HR,morning
1084,Chelsey Nolan,Support,night
1085,David Christian,Sales,morning
1086,Mike Johnson,Finance,morning
1087,Mr. Joshua Smith,Support,night
1088,Jeffery Ingram,HR,morning
1089,Christopher Hardy,Finance,morning
1090,Morgan Short,Sales,night
1091,Scott Prince,Support,evening
1092,Willie Barnes,Support,evening
1093,Peter Jordan,Sales,morning
1094,Edwin Wheeler,Sales,evening
1095,Stephen Taylor,HR,evening
1096,Scott Roach MD,IT,evening
1097,Paul Holland,Sales,evening
1098,William Thomas,Finance,night
1099,Leslie Lewis,HR,morning
1100,Jennifer Collins,Finance,evening
1101,Jacqueline Ali,Support,night
1102,Amber Barr,Finance,evening
1103,Whitney Pugh,HR,evening
1104,Julie Craig,IT,night
1105,Leonard Kennedy,HR,morning
1106,Amy Reed,Finance,evening
1107,Sherry Kemp,HR,night
1108,Christy Nguyen,IT,night
1109,April Ballard,HR,night
1110,Elizabeth Hernandez,Finance,morning
1111,Elizabeth Cisneros,IT,evening
1112,Terry Murphy,Finance,morning
1113,Sandra Morris,Finance,morning
1114,Kathy Frost,Support,evening
1115,Melissa Warner,Sales,night
1116,Lauren Elliott,IT,evening
1117,Carla Harris,Finance,evening
1118,Jesus Fields,Finance,evening
1119,Brenda Lutz,HR,night
1120,Michelle Pitts,Support,morning
1121,Nicole Taylor,Sales,night
1122,Kelsey Dunlap,Finance,morning
1123,Mario Lane,Finance,morning
1124,Dr. Eric Day,Sales,evening
1125,Jason Rogers,Sales,night
1126,Matthew Curry,IT,morning
1127,Angela Gibson,HR,night
1128,Nicholas Fields,HR,night
1129,Robert Cline,IT,evening
1130,Kristin Allen,Finance,morning
1131,Marcus Brooks,Sales,evening
1132,Marie Hughes,Sales,evening
1133,Amber Jennings,Finance,evening
1134,Alyssa Wheeler,IT,night
1135,William Reed,Support,evening
1136,Linda Smith,Sales,evening
1137,Julie Jones,IT,morning
1138,Mark Beard,Sales,night
1139,Kimberly Mack,Sales,night
1140,Barbara Davis,IT,evening
1141,Jason Jackson,Finance,evening
1142,Stephen Lynch,IT,night
1143,Robert Stone,HR,morning
1144,Steven Davis,Finance,morning
1145,Rachel Doyle,Support,morning
1146,Ryan Wise,IT,morning
1147,George Graham,Sales,morning
1148,George Day,HR,night
1149,Heather Juarez,IT,evening
1150,Angela Garcia,HR,evening
1151,Robert Herrera,Finance,evening
1152,Leslie Phillips,Support,morning
1153,Lindsey Oliver,Support,night
1154,Laura Vincent,IT,night
1155,Benjamin Hogan,Sales,evening
1156,Cathy Stephens MD,Sales,night
1157,Mrs. Ashley Francis,Sales,night
1158,David Rice,Sales,night
1159,Christopher Hunt,Sales,night
1160,Dean Rhodes,Support,night
1161,Andrea Olson,HR,night
1162,Jill Hughes,Finance,evening
1163,Kevin Gray,Support,night
1164,Erin Berry,Finance,evening
1165,William Gray,Sales,morning
1166,Victoria Collins,Finance,night
1167,James Hendricks,Finance,morning
1168,Kimberly Collins,Sales,night
1169,Susan Burns,HR,morning
1170,Daniel Johnson,Sales,evening
1171,Jordan Johnson,HR,morning
1172,Tanya Evans,HR,evening
1173,Brian Hartman,Sales,evening
1174,Ronald Mathis,Finance,night
1175,Christy Ortiz,Support,evening
1176,Yvette Shepherd,Support,morning
1177,Yvonne Allen,IT,night
1178,Jeffery Keith,Finance,morning
1179,Michael Braun,Support,morning
1180,Dennis Shepherd,Finance,night
1181,Ernest Kim,HR,night
1182,James Jordan,IT,night
1183,Christina Garcia,HR,evening
1184,Jeffrey Martin,Sales,night
1185,Mary Fuller,Finance,morning
1186,Emily Wood,Support,evening
1187,Mary Kaufman,Support,night
1188,Phillip Reyes,Finance,night
1189,Mrs. Alexis Parker,Sales,night
1190,Phillip Parker,HR,night
1191,Alexandria Mendoza,IT,night
1192,Denise Graham,Support,night
1193,Dawn Mendez,Support,evening
1194,Candice Lynch,Finance,night
1195,Alexandra Cole,Support,morning
1196,Ashley Conrad,Sales,evening
1197,Jacqueline Black,Support,morning
1198,David Pugh,HR,evening
1199,Sheila Gibson,Support,morning
1200,Melissa Wilson,Support,evening
1201,Barbara Adams,Support,morning
1202,Mr. John Becker,IT,evening
1203,Elizabeth Hunter,IT,morning
1204,Amanda Freeman,Sales,night
1205,Savannah Wright,HR,morning
1206,Mrs. Kathleen Schneider,Sales,night
1207,Jay Gutierrez,Finance,morning
1208,Angela Buck,IT,morning
1209,Mark Ramirez,Support,morning
1210,Raven Foster,Support,morning
1211,Jessica Byrd,HR,night
1212,Tracey Stephens,IT,morning
1213,Anthony Gardner,Support,night
1214,Tina Reid,Support,morning
1215,Ryan Williamson,Sales,night
1216,Shelly Lopez,HR,night
1217,Karen Smith,Finance,morning
1218,Erica Brown,HR,night
1219,Robert Singh,Sales,morning
1220,Michael Diaz,HR,night
1221,Emily Brown,HR,night
1222,Ashlee Ford,Support,morning
1223,Robert Gutierrez,Sales,evening
1224,Carol Tapia,Sales,evening
1225,Curtis Macdonald,Support,morning
1226,Megan Cherry,IT,evening
1227,Charles Smith,Sales,evening
1228,Tiffany Martinez,Sales,evening
1229,Michele Lee MD,HR,morning
1230,Jacqueline Monroe,Support,evening
1231,Brandon Brown,Support,night
1232,Brad Parker,Finance,morning
1233,Kristin Howard MD,Sales,morning
1234,Michele Branch,Support,evening
1235,Terri Nunez,IT,morning
1236,Mariah Arnold,Support,night
1237,Dennis Newman,Support,morning
1238,Tracy Howard,HR,morning
1239,Jeffrey Esparza,HR,night
1240,Cody Mcclain,Support,night
1241,Kristen Contreras,Finance,morning
1242,Travis Woodward,HR,evening
1243,Jeremy Young,Sales,night
1244,Laura Beck,HR,evening
1245,Faith Alexander,HR,evening
1246,Dustin Ferguson,HR,evening
1247,John Montes,Sales,night
1248,Megan Francis,Support,night
1249,Nicholas Brooks,Sales,morning
1250,Chelsea Stafford,IT,night
1251,Wendy Ball,Finance,morning
1252,Steven Howard DVM,Sales,evening
1253,Lori Bowen,HR,evening
1254,Jose Marshall,Sales,evening
1255,Lisa English,HR,night
1256,Katherine Washington,IT,morning
1257,Louis Lin,IT,night
1258,Charles Gates,Finance,night
1259,Eric Flores,HR,morning
1260,Randy Berry,Finance,evening
1261,Julian Morales,Sales,morning
1262,Brian Morrison,Sales,evening
1263,Tammy Luna,Support,night
1264,Mr. Christopher Moses MD,Sales,evening
1265,Daniel Miller,Support,night
1266,Vanessa West,IT,evening
1267,Joseph Larson,Support,night
1268,Miss Lisa Gregory DDS,Finance,morning
1269,Miguel Sanchez,Support,evening
1270,Kimberly Gibson,HR,night
1271,Lisa Sullivan,HR,morning
1272,Amanda Jones,Finance,night
1273,Joseph Bell,Finance,evening
1274,Erika Smith,Support,morning
1275,Eugene Fisher,HR,evening
1276,Robin Todd,Sales,evening
1277,Karen Garcia,IT,evening
1278,Shawn Miller,IT,morning
1279,John Brandt,Finance,night
1280,Dr. Dennis Lowery,Support,night
1281,James Peterson,Sales,evening
1282,Barbara Carr MD,Support,night
1283,Mr. Justin Osborne,Support,morning
1284,Alicia Landry,Support,evening
1285,Bailey Casey,IT,night
1286,Christian Lang,Finance,morning
1287,Bobby Ellison,Sales,night
1288,Rachel Robinson,IT,evening
1289,Bradley King,HR,evening
1290,Norman Brown,IT,night
1291,Katrina Pollard,HR,night
1292,Amanda Mcintyre,IT,night
1293,Diana Schmidt,Sales,morning
1294,Timothy Lambert,Sales,evening
1295,Alyssa Pierce,Support,morning
1296,Brenda Walls,Sales,night
1297,Kristine Christian,IT,morning
1298,John Wilson,HR,evening
1299,Nathaniel Waters,Finance,morning
1300,Lisa Guerrero,HR,morning
1301,Melissa Turner,Support,morning
1302,Joseph Tran,IT,night
1303,Veronica Taylor,Sales,morning
1304,Mr. Jacob Myers Jr.,Sales,evening
1305,Dennis Zuniga,HR,morning
1306,Matthew Brown,IT,evening
1307,Sarah Daugherty,IT,evening
1308,Danielle Rodriguez,IT,night
1309,Michael Owens,Support,night
1310,Samuel Estrada,HR,evening
1311,Christina Wright,Sales,morning
1312,Daniel Bowers,Sales,night
1313,Ashley Moore,Support,morning
1314,Victoria Mccall PhD,Finance,evening
1315,Carolyn Lynch,Support,night
1316,Cassidy Lewis,Finance,evening
1317,Stacey Smith,Finance,night
1318,Andres Johnson,Finance,night
1319,Dr. Barbara Miller,Finance,night
1320,Joshua Williams,HR,evening
1321,Holly Hancock,Finance,night
1322,Jennifer Collins,Sales,night
1323,Samantha Good,Support,morning
1324,Caleb Hughes,IT,morning
1325,Jordan Gonzalez,Finance,morning
1326,Taylor Hansen,HR,night
1327,Rebecca Brown,Sales,evening
1328,Laura Gonzalez,Support,evening
1329,Joseph Hall,Finance,morning
1330,Dana Bowers,Finance,morning
1331,John Clark,IT,night
1332,Brittney Yates,HR,night
1333,Patricia Boyd,Support,evening
1334,Julie Fitzpatrick,HR,morning
1335,Daniel Melton,Support,morning
1336,Linda Brown,IT,morning
1337,Autumn Mcneil,HR,morning
1338,Donna Burns,Sales,night
1339,Lawrence Gibson,IT,evening
1340,Mario Miller,IT,night
1341,Jonathan Lewis,Finance,morning
1342,William Wright,HR,night
1343,Amber Richardson,Finance,morning
1344,Steven Walters,Finance,night
1345,Brent Mann,HR,morning
1346,Paul Martinez,HR,night
1347,Michael Johnson,HR,evening
1348,Benjamin Harris,HR,night
1349,Jacob Gardner III,HR,night
1350,Leslie Johnson,HR,night
1351,Sarah Reyes,HR,morning
1352,Scott Evans,HR,evening
1353,Thomas Martin,Sales,evening
1354,Kayla Evans,IT,evening
1355,Kenneth Lopez,Support,morning
1356,Heather Bautista,HR,night
1357,Peter Cortez,Sales,morning
1358,Tammy Parker,Support,night
1359,Julie George,IT,night
1360,Andrew Gardner,IT,evening
1361,Richard Martin,IT,morning
1362,Brian Garcia,HR,night
1363,Mr. Zachary Peck,IT,night
1364,Daniel Greene,Finance,night
1365,Shawn Murphy,IT,evening
1366,Jennifer Woodward,Finance,morning
1367,Tiffany Thomas,Support,night
1368,Mark Little,IT,morning
1369,Natalie Davis,Sales,morning
1370,Vanessa Williams,IT,evening
1371,Tina Williams,Support,night
1372,Jennifer Peterson,HR,night
1373,Jason Romero,Sales,night
1374,Bryan Mcmillan,Finance,night
1375,Dorothy Jackson,HR,night
1376,Bradley Johnson,HR,evening
1377,Daniel Walls,IT,morning
1378,Justin Hernandez,Sales,morning
1379,Kristin Price,Support,evening
1380,Laura Ramos,Support,night
1381,April Snyder,Sales,evening
1382,Antonio Brown,Finance,morning
1383,Courtney Foster,Sales,night
1384,Casey Davis,IT,morning
1385,Kimberly Caldwell,Finance,evening
1386,Alison Bradford DVM,Support,morning
1387,Pamela Franklin,HR,night
1388,Reginald Levy,Support,night
1389,Heather Williams,IT,morning
1390,Brittany Davies,Finance,evening
1391,Colton Shaw,HR,evening
1392,Mr. Douglas Gray DDS,Sales,morning
1393,Carlos Riley,Finance,night
1394,Matthew Johnson,HR,morning
1395,Maureen Sanders,Sales,night
1396,Joshua Wolf,IT,morning
1397,Anita Jackson,Finance,night
1398,Meghan Bates,HR,evening
1399,Joshua Vance,Support,evening
1400,Kelli Callahan,HR,night
1401,Ruth Hill,Finance,night
1402,Tabitha Martin,IT,evening
1403,Gabriel Rogers,Support,night
1404,Kristina Glass,Sales,evening
1405,Claudia Cooper,HR,evening
1406,Jonathan Thompson,Sales,night
1407,Raymond Turner,Support,morning
1408,Ashley Andrews,IT,night
1409,Cynthia Gregory,Sales,night
1410,Eduardo Hernandez,IT,night
1411,Sandra Torres,Finance,morning
1412,Matthew Pineda,IT,evening
1413,Shawn Murray,Support,morning
1414,Robert Moon,Finance,morning
1415,Michael Cherry,Finance,morning
1416,Matthew Lopez,IT,morning
1417,Stephanie Holloway,Finance,evening
1418,Robin Phillips,Support,morning
1419,Dominique Rodriguez,Sales,morning
1420,Christopher Smith,Support,night
1421,Ellen Harrison,Sales,night
1422,Corey Wolfe,IT,evening
1423,Morgan White,IT,night
1424,Justin Murphy,Support,night
1425,Adrian Hamilton,HR,morning
1426,Anne Mccoy,Support,night
1427,Todd Harris,Support,evening
1428,Micheal Kramer,IT,evening
1429,Mr. Charles Martinez,IT,morning
1430,Karen Curtis,Support,night
1431,Lisa Walker,Finance,morning
1432,Aaron Cohen,Sales,evening
1433,Kim Scott,HR,morning
1434,Natalie Cook,Finance,morning
1435,Diane Tucker,Finance,night
1436,Melissa Garcia,Sales,morning
1437,Devin Keith,IT,evening
1438,Eric Kelly,Support,morning
1439,Catherine Mccormick,Finance,morning
1440,Lori Davis,Sales,night
1441,Mike Thomas,Finance,night
1442,Keith Fuentes,Sales,evening
1443,Kristin Moore,Sales,evening
1444,Matthew Foster,Sales,morning
1445,Alicia Horne,Support,night
1446,Richard Clay,IT,evening
1447,Tyler Walker,HR,morning
1448,Catherine Carey,HR,night
1449,Lauren Stephens,Support,morning
1450,Heather Green,HR,morning
1451,Andrew Mcdonald,Finance,night
1452,Ryan Harvey,Sales,morning
1453,Brenda Anderson,Support,evening
1454,Maria Hayes,Sales,morning
1455,Anne Moore,HR,evening
1456,Kimberly Munoz,Sales,morning
1457,Brian Kramer,HR,evening
1458,Taylor Miller,Support,morning
1459,Rhonda Kelly,Sales,evening
1460,James Myers,Finance,morning
1461,Ralph Johnson,HR,night
1462,Donald Dunn,Sales,night
1463,Elizabeth Figueroa,HR,night
1464,Katherine Collins,Finance,morning
1465,Eric Page,IT,evening
1466,Emma Burnett,IT,night
1467,Emily Parker,HR,morning
1468,David Meyer,Finance,morning
1469,Jessica Wade,Sales,night
1470,Mary Warren,HR,night
1471,Melanie Dennis,Finance,morning
1472,Maria Johnson,HR,evening
1473,Thomas Walker,IT,morning
1474,Amy Crawford,Sales,night
1475,William Clark,IT,evening
1476,Mr. Ronald Parker MD,HR,evening
1477,Shaun Davis,IT,night
1478,Jesse Buck,Finance,night
1479,James Mccoy,Finance,evening
1480,Anthony Rodriguez,IT,night
1481,Theresa Harris,Sales,night
1482,Daniel Smith,IT,morning
1483,Kimberly Torres,Finance,morning
1484,Jennifer Mitchell,Support,morning
1485,Jeffery Miller,Sales,evening
1486,Christina Joyce,HR,evening
1487,Jason Roy,Finance,morning
1488,Jason Peters,IT,morning
1489,Zachary Taylor,IT,evening
1490,Katherine Edwards,IT,evening
1491,Donna Gutierrez,Sales,evening
1492,Joel Jackson,Finance,evening
1493,Gina Mcgee,Finance,morning
1494,Terry Cherry,Support,night
1495,Logan Nunez,Support,evening
1496,Tonya James,Sales,evening
1497,Gina Jones,Support,evening
1498,Jessica Ramsey,IT,morning
1499,George Gray,Support,night
1500,Joseph Yates,HR,morning
1501,Robert Reed,Finance,evening
1502,Rebecca Morales,Finance,morning
1503,Amanda Decker,IT,evening
1504,William Wilson,Support,evening
1505,Jennifer Zamora,Finance,evening
1506,Timothy Johnson,Finance,evening
1507,Kelly Wilson,Finance,evening
1508,Christopher Mathews,Finance,night
1509,Jason Pearson,Sales,night
1510,David Nguyen,Finance,night
1511,Alan Mendez,Finance,night
1512,Ryan Moreno,Finance,morning
1513,Joshua Morgan,HR,night
1514,Jason Moore,IT,night
1515,Marc Graham,IT,evening
1516,David Robinson,Sales,night
1517,Nicole Leon,Support,night
1518,Sharon Diaz,HR,morning
1519,Brooke Davis,Support,evening
1520,James Park,Support,night
1521,Angela Pitts,Sales,evening
1522,Lisa James,Sales,morning
1523,Debra Stone MD,HR,evening
1524,Christine Bell,HR,morning
1525,Martin Cohen,Sales,morning
1526,George Jenkins,Sales,morning
1527,Kevin Moore,Support,morning
1528,Jennifer Finley,Finance,night
1529,Roger Quinn,Finance,morning
1530,Kevin Payne,Support,night
1531,Ethan Villanueva,Sales,evening
1532,Alexandra Aguirre,Finance,evening
1533,Tyler Martinez,Sales,evening
1534,Zachary Green,HR,morning
1535,Brittany Mckinney,IT,night
1536,Lauren Anthony,Sales,evening
1537,Courtney Garcia,IT,night
1538,Kyle Gomez,Sales,morning
1539,Gary Maxwell,Finance,morning
1540,Robert Kim,Finance,night
1541,Mark Larson,Sales,morning
1542,Kaitlyn Montgomery,Sales,night
1543,Brian Burgess,Sales,evening
1544,Jo Love,Support,morning
1545,Tracy Smith,Sales,night
1546,Michael Macias,Finance,night
1547,Dennis Watkins,Sales,morning
1548,Daniel Martinez,HR,night
1549,Theodore Wilson,HR,morning
1550,Linda Rodriguez,Finance,morning
1551,David Morris,HR,evening
1552,Jennifer Hernandez,IT,morning
1553,Sandra Martinez,Sales,night
1554,Jerome Lee,IT,morning
1555,Tiffany Kelly,Sales,night
1556,Rebecca Palmer,Finance,morning
1557,Michael Key,IT,night
1558,Audrey Christensen,HR,evening
1559,Alexandria Marquez,HR,night
1560,Daniel Bradley,Sales,morning
1561,Brian Ross,HR,evening
1562,Kevin Cortez,HR,morning
1563,Andrew Manning,IT,evening
1564,Nathan Lyons,HR,evening
1565,Kayla Ferrell,Support,night
1566,David Chapman,Support,morning
1567,Nicole Brown,Support,night
1568,Michael Carlson,Support,evening
1569,Theresa Green,IT,evening
1570,Carlos Navarro,Finance,night
1571,Joshua Moore,HR,evening
1572,Phyllis Carpenter,IT,night
1573,Christine Day MD,Sales,night
1574,Elizabeth Jones,Support,morning
1575,Beverly Dawson,IT,night
1576,Kimberly Williams,HR,morning
1577,Elizabeth Hill,Finance,evening
1578,Brandon Hatfield,HR,evening
1579,Laura Garcia,HR,night
1580,Kimberly Rodriguez,HR,evening
1581,Desiree Aguilar,Finance,morning
1582,Courtney Thomas,Support,night
1583,Sarah Diaz,Sales,morning
1584,Scott Valentine,IT,night
1585,Sean Gordon,IT,night
1586,Gabriel Carney,HR,evening
1587,Mark Friedman,HR,night
1588,William Woods,Support,night
1589,Beth Cole,Support,morning
1590,Marilyn Lee,IT,night
1591,Briana Johnson,IT,evening
1592,Christian Murphy,Finance,morning
1593,Jacob Morse,HR,evening
1594,Leslie Rodriguez,IT,night
1595,Denise Cole,HR,evening
1596,Pamela Simmons,Support,morning
1597,Ryan Scott,IT,night
1598,Brittney Dunn,Finance,morning
1599,David Robinson,IT,night
1600,Jordan Phillips,Finance,evening
1601,Kenneth Martin,HR,morning
1602,Shannon Johnson,HR,morning
1603,Brett Johnston,Sales,evening
1604,Michelle Lawson,Finance,evening
1605,Elizabeth Miller,Support,evening
1606,Danny Tyler,Support,night
1607,Erin Chavez,Sales,evening
1608,James Barry,IT,morning
1609,Carla Rivers,Support,evening
1610,Heather Edwards,HR,evening
1611,Allison Lopez,IT,morning
1612,Shannon Johnson,Finance,morning
1613,Jaime James,HR,morning
1614,Michael Bailey,Sales,night
1615,Miranda Mcknight,Sales,morning
1616,Mark Casey,IT,night
1617,Kimberly Moore,Support,morning
1618,Destiny Garcia,Sales,evening
1619,Keith Lopez,Support,night
1620,Christopher Roy,Sales,night
1621,Adam Mann,Support,night
1622,Brett Martinez,Finance,morning
1623,Monique Ramos,Finance,night
1624,Shane Adams,Sales,night
1625,Daniel Byrd,Sales,night
1626,Jennifer Torres,IT,night
1627,Terry Bailey,IT,morning
1628,Marc Smith,Sales,evening
1629,Michael Parks,IT,evening
1630,Debra Thompson,Sales,morning
1631,David Sheppard,HR,morning
1632,Ashley Foster,IT,evening
1633,Mary Lawson,Sales,evening
1634,Joshua Baker,Sales,night
1635,Seth Harris,Finance,night
1636,Kathy Smith,HR,morning
1637,Joseph Pham,Finance,morning
1638,Jordan Taylor,Support,evening
1639,Cody Kennedy,IT,morning
1640,Amanda Tyler,Finance,morning
1641,James Green,Support,morning
1642,Tim Hill,Support,morning
1643,James Chen,Support,evening
1644,Tiffany Johnson,IT,morning
1645,Pamela Wright,Sales,evening
1646,Travis Coffey,IT,morning
1647,Mrs. Lori Jackson DVM,HR,evening
1648,Crystal Morrison,IT,evening
1649,Jaclyn Coffey,Support,morning
